2015-10-06T14:04:01.024+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60467 #59 (6 connections now open)
2015-10-06T14:04:01.025+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60468 #60 (7 connections now open)
2015-10-06T14:04:01.025+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60469 #61 (8 connections now open)
2015-10-06T14:04:01.026+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60470 #62 (9 connections now open)
2015-10-06T14:04:01.026+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60471 #63 (10 connections now open)
2015-10-06T14:04:01.036+0200 I NETWORK  [conn59] end connection 127.0.0.1:60467 (9 connections now open)
2015-10-06T14:04:01.036+0200 I NETWORK  [conn60] end connection 127.0.0.1:60468 (9 connections now open)
2015-10-06T14:04:01.036+0200 I NETWORK  [conn61] end connection 127.0.0.1:60469 (9 connections now open)
2015-10-06T14:04:01.036+0200 I NETWORK  [conn62] end connection 127.0.0.1:60470 (6 connections now open)
2015-10-06T14:04:01.036+0200 I NETWORK  [conn63] end connection 127.0.0.1:60471 (6 connections now open)
2015-10-06T14:04:04.155+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60473 #64 (6 connections now open)
2015-10-06T14:04:04.168+0200 I NETWORK  [conn64] end connection 127.0.0.1:60473 (5 connections now open)
2015-10-06T14:04:04.175+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60474 #65 (6 connections now open)
2015-10-06T14:04:04.175+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60475 #66 (7 connections now open)
2015-10-06T14:04:04.176+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60476 #67 (8 connections now open)
2015-10-06T14:04:04.177+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60477 #68 (9 connections now open)
2015-10-06T14:04:04.178+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:60478 #69 (10 connections now open)
2015-10-06T14:04:04.191+0200 I NETWORK  [conn65] end connection 127.0.0.1:60474 (9 connections now open)
2015-10-06T14:04:04.191+0200 I NETWORK  [conn66] end connection 127.0.0.1:60475 (9 connections now open)
2015-10-06T14:04:04.191+0200 I NETWORK  [conn67] end connection 127.0.0.1:60476 (7 connections now open)
2015-10-06T14:04:04.192+0200 I NETWORK  [conn68] end connection 127.0.0.1:60477 (7 connections now open)
